Date,C1_School_closing,C1_Flag,C2_Workplace_closing,C2_Flag,C3_Cancel_public_events,C3_Flag,C4_Restrictions_on_gatherings,C4_Flag,C5_Close_public_transport,C5_Flag,C6_Stay_at_home_requirements,C6_Flag,C7_Restrictions_on_internal_movement,C7_Flag,C8_International_travel_controls,E1_Income_support,E1_Flag,E2_Debt_contract_relief,H1_Public_information_campaigns,H1_Flag,H2_Testing_policy,H3_Contact_tracing,H6_Facial_Coverings,H6_Flag,StringencyIndex,StringencyLegacyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,C1,C2,C3,C4,C5,C6,C7,C8,E1,E2,H1,H2,H3,H6
20200301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,11.11,14.29,13.1,15.28,0,0,0,0,0,0,0,0,0,0,0,100,33.33333333,50,0
20200302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,11.11,14.29,13.1,15.28,0,0,0,0,0,0,0,0,0,0,0,100,33.33333333,50,0
20200303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,11.11,14.29,13.1,15.28,0,0,0,0,0,0,0,0,0,0,0,100,33.33333333,50,0
20200304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,11.11,14.29,13.1,15.28,0,0,0,0,0,0,0,0,0,0,0,100,33.33333333,50,0
20200305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,11.11,14.29,13.1,15.28,0,0,0,0,0,0,0,0,0,0,0,100,33.33333333,50,0
20200306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,11.11,14.29,13.1,15.28,0,0,0,0,0,0,0,0,0,0,0,100,33.33333333,50,0
20200307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,11.11,14.29,13.1,15.28,0,0,0,0,0,0,0,0,0,0,0,100,33.33333333,50,0
20200308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,11.11,14.29,13.1,15.28,0,0,0,0,0,0,0,0,0,0,0,100,33.33333333,50,0
20200309,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,0,25,33.33,22.02,25.69,0,83.33333333,16.66666667,0,0,0,0,25,0,0,0,100,33.33333333,50,0
20200310,3,0,1,0,2,1,1,0,0,0,0,0,1,0,3,0,0,0,2,1,1,1,0,0,45.83,58.33,35.42,41.32,0,83.33333333,16.66666667,100,12.5,0,0,25,75,0,0,100,33.33333333,50,0
20200311,3,0,1,0,2,1,1,0,0,0,0,0,1,0,3,0,0,0,2,1,1,1,0,0,45.83,58.33,35.42,41.32,0,83.33333333,16.66666667,100,12.5,0,0,25,75,0,0,100,33.33333333,50,0
20200312,3,0,1,0,2,1,1,0,0,0,0,0,1,0,3,0,0,0,2,1,1,1,0,0,45.83,58.33,35.42,41.32,0,83.33333333,16.66666667,100,12.5,0,0,25,75,0,0,100,33.33333333,50,0
20200313,3,0,1,0,2,1,1,0,0,0,0,0,1,0,3,0,0,0,2,1,1,1,0,0,45.83,58.33,35.42,41.32,0,83.33333333,16.66666667,100,12.5,0,0,25,75,0,0,100,33.33333333,50,0
20200314,3,0,2,1,2,1,1,0,1,1,2,1,1,1,3,0,0,0,2,1,1,1,0,1,67.13,80.95,49.11,57.29,0,83.33333333,66.66666667,100,12.5,50,66.66666667,50,75,0,0,100,33.33333333,50,0
20200315,3,0,2,1,2,1,1,0,1,1,2,1,1,1,3,0,0,0,2,1,1,1,0,1,67.13,80.95,49.11,57.29,0,83.33333333,66.66666667,100,12.5,50,66.66666667,50,75,0,0,100,33.33333333,50,0
20200316,3,1,2,1,2,1,1,0,1,1,2,1,1,1,3,0,0,0,2,1,1,1,0,1,68.98,84.52,50.3,58.68,0,100,66.66666667,100,12.5,50,66.66666667,50,75,0,0,100,33.33333333,50,0
20200317,3,1,2,1,2,1,1,0,1,1,2,1,1,1,4,0,0,1,2,1,1,1,0,1,71.76,88.1,55.65,60.76,25,100,66.66666667,100,12.5,50,66.66666667,50,100,0,50,100,33.33333333,50,0
20200318,3,1,2,1,2,1,1,0,1,1,2,1,1,1,4,2,0,1,2,1,1,1,0,1,71.76,88.1,61.01,60.76,62.5,100,66.66666667,100,12.5,50,66.66666667,50,100,75,50,100,33.33333333,50,0
20200319,3,1,2,1,2,1,1,0,1,1,2,1,1,1,4,2,0,1,2,1,1,1,0,1,71.76,88.1,61.01,60.76,62.5,100,66.66666667,100,12.5,50,66.66666667,50,100,75,50,100,33.33333333,50,0
20200320,3,1,2,1,2,1,1,0,1,1,2,1,1,1,4,2,0,1,2,1,1,1,0,1,71.76,88.1,61.01,60.76,62.5,100,66.66666667,100,12.5,50,66.66666667,50,100,75,50,100,33.33333333,50,0
20200321,3,1,2,1,2,1,1,0,1,1,2,1,1,1,4,2,0,1,2,1,1,1,0,1,71.76,88.1,61.01,60.76,62.5,100,66.66666667,100,12.5,50,66.66666667,50,100,75,50,100,33.33333333,50,0
20200322,3,1,2,1,2,1,1,0,1,1,2,1,1,1,4,2,0,1,2,1,1,1,0,1,71.76,88.1,61.01,60.76,62.5,100,66.66666667,100,12.5,50,66.66666667,50,100,75,50,100,33.33333333,50,0
20200323,3,1,2,1,2,1,1,0,1,1,2,1,1,1,4,2,0,1,2,1,1,1,0,1,71.76,88.1,61.01,60.76,62.5,100,66.66666667,100,12.5,50,66.66666667,50,100,75,50,100,33.33333333,50,0
20200324,3,1,2,1,2,1,1,0,1,1,2,1,1,1,4,2,0,1,2,1,1,1,0,1,71.76,88.1,61.01,60.76,62.5,100,66.66666667,100,12.5,50,66.66666667,50,100,75,50,100,33.33333333,50,0
